"Column 1"
"21JG1A0542, 22JG5A0506, 21JG1A0533, 21JG1A0509"
"21JG1A0504, 21JG1A0514, 21JG1A0557, 21JG1A0511"
"21JG1A0517, 21JG1A0513, 22JG5A0503, 21JG1A0540"
"21JG1A0522, 22JG5A0505, 21JG1A0546, 22JG5A0502"
"21JG1A0551, 21JG1A0527, 21JG1A0544, 21JG1A0532"
"21JG1A0536, 21JG1A0525, 21JG1A0526, 21JG1A0505"
"21JG1A0561, 21JG1A0564, 21JG1A0512, 21JG1A0524"
"21JG1A0507, 21JG1A0562, 21JG1A0552, 21JG1A0518"
"21JG1A0550, 21JG1A0508, 21JG1A0503, 21JG1A0501"
"21JG1A0558, 21JG1A0541, 21JG1A0543, 21JG1A0548"
"21JG1A0502, 21JG1A0537, 21JG1A0521, 21JG1A0534"
"22JG5A0501, 21JG1A0547, 21JG1A0545, 21JG1A0556"
"21JG1A0553, 21JG1A0549, 21JG1A0555, 21JG1A0523"
"21JG1A0560, 21JG1A0515, 21JG1A0528, 21JG1A0530"
"21JG1A0510, 21JG1A0566, 21JG1A0535, 21JG1A0506"
"21JG1A0559, 21JG1A0538, 21JG1A0565, 21JG1A0520"
"22JG5A0504, 21JG1A0554, 21JG1A0531, 21JG1A0519"
"21JG1A0529, 21JG1A0563, 21JG1A0516, 21JG1A0539"
