"Column 1"
"21JG1A0580, 21JG1A05D0, 21JG1A0585, 21JG1A0591"
"21JG1A05B3, 21JG1A0572, 21JG1A05C0, 22JG5A0510"
"21JG1A05A1, 21JG1A05C8, 21JG1A05B5, 21JG1A0589"
"21JG1A0584, 22JG5A0512, 21JG1A05A3, 21JG1A05A5"
"21JG1A05C7, 21JG1A0583, 21JG1A0592, 21JG1A05A2"
"21JG1A0582, 21JG1A0571, 21JG1A05A7, 21JG1A0594"
"21JG1A05B2, 21JG1A0577, 21JG1A05B4, 21JG1A05A8"
"21JG1A0576, 22JG5A0511, 21JG1A05B0, 21JG1A0579"
"21JG1A0568, 21JG1A05C3, 21JG1A05B8, 21JG1A0587"
"21JG1A05C5, 21JG1A05A0, 21JG1A0567, 21JG1A0586"
"21JG1A05B9, 21JG1A0570, 21JG1A05A6, 22JG5A0507"
"21JG1A05C4, 21JG1A0588, 21JG1A05C9, 21JG1A0573"
"21JG1A05A9, 21JG1A05A4, 21JG1A05B7, 21JG1A0581"
"21JG1A0597, 21JG1A0593, 21JG1A05C6, 21JG1A0596"
"21JG1A0595, 21JG1A0590, 22JG5A0509, 21JG1A0598"
"21JG1A05C1, 22JG5A0508, 21JG1A0575, 21JG1A05B6"
"21JG1A0574, 21JG1A0569, 21JG1A05C2, 21JG1A05B1"
